,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,ID,Section,slideNumber
4352,0.512,0.791,0.382,0.273,0.437,0.414,0.396,0.480,0.908,0.366,0.078,0.075,1.244,0.538,0.283,0.451,0.512,0.817,0.423,0.273,139573.0,2.0,11.0
4353,0.437,0.440,0.390,0.480,0.908,0.333,0.084,0.075,1.244,0.527,0.274,0.451,0.512,0.839,0.475,0.273,0.437,0.466,0.395,0.480,139573.0,2.0,11.0
4354,0.908,0.295,0.088,0.075,1.244,0.510,0.262,0.451,0.512,0.851,0.512,0.273,0.437,0.481,0.408,0.480,0.908,0.260,0.090,0.075,139573.0,2.0,11.0
4355,1.244,0.486,0.245,0.451,0.512,0.847,0.517,0.273,0.437,0.475,0.423,0.480,0.908,0.237,0.092,0.075,1.244,0.461,0.226,0.451,139573.0,2.0,11.0
4356,0.512,0.830,0.501,0.273,0.437,0.451,0.437,0.480,0.908,0.232,0.089,0.075,1.244,0.444,0.213,0.451,0.512,0.817,0.478,0.273,139573.0,2.0,11.0
4357,0.437,0.427,0.446,0.480,0.908,0.242,0.079,0.075,1.244,0.442,0.204,0.451,0.512,0.820,0.448,0.273,0.437,0.427,0.440,0.480,139573.0,2.0,11.0
4358,0.908,0.259,0.055,0.075,1.244,0.453,0.186,0.451,0.512,0.850,0.406,0.273,0.437,0.460,0.413,0.480,0.908,0.273,0.017,0.075,139573.0,2.0,11.0
4359,1.244,0.460,0.145,0.451,0.512,0.888,0.360,0.273,0.437,0.501,0.377,0.480,0.908,0.276,0.028,0.075,1.244,0.446,0.084,0.451,139573.0,2.0,11.0
4360,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,139573.0,2.0,11.0
4361,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,139573.0,2.0,11.0
4362,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,139573.0,2.0,11.0
4363,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,139573.0,2.0,11.0
4364,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,139573.0,2.0,11.0
4365,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,139573.0,2.0,11.0
4366,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,139573.0,2.0,11.0
4367,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,139573.0,2.0,11.0
4368,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,139573.0,2.0,11.0
4369,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,139573.0,2.0,11.0
4370,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,139573.0,2.0,11.0
4371,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,139573.0,2.0,11.0
4372,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,139573.0,2.0,11.0
4373,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,139573.0,2.0,11.0
4374,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,139573.0,2.0,11.0
4375,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,139573.0,2.0,11.0
4376,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,139573.0,2.0,11.0
4377,0.437,0.517,0.355,0.480,0.908,0.258,0.061,0.075,1.244,0.446,0.084,0.451,0.512,0.897,0.325,0.273,0.437,0.517,0.355,0.480,139573.0,2.0,11.0
4378,0.908,0.258,0.061,0.075,1.244,0.408,0.084,0.451,0.512,0.319,0.325,0.273,0.437,0.564,0.355,0.480,0.908,0.204,0.061,0.075,139573.0,2.0,11.0
4379,1.244,0.367,0.029,0.451,0.512,0.328,0.773,0.273,0.437,0.538,0.618,0.480,0.908,0.219,0.104,0.075,1.244,0.342,0.011,0.451,139573.0,2.0,11.0
4380,0.512,0.352,0.778,0.273,0.437,0.538,0.563,0.480,0.908,0.224,0.068,0.075,1.244,0.332,0.025,0.560,0.512,0.387,0.756,0.083,139573.0,2.0,11.0
4381,0.437,0.556,0.515,0.147,0.908,0.214,0.050,0.090,0.349,0.333,0.022,0.561,0.387,0.409,0.740,0.116,0.365,0.578,0.468,0.115,139573.0,2.0,11.0
4382,0.069,0.192,0.043,0.075,0.336,0.339,0.008,0.549,0.334,0.409,0.742,0.141,0.313,0.593,0.425,0.041,0.065,0.167,0.038,0.064,139573.0,2.0,11.0
4383,0.358,0.344,0.010,0.532,0.308,0.404,0.756,0.099,0.280,0.597,0.395,0.067,0.070,0.147,0.034,0.051,0.406,0.351,0.027,0.516,139573.0,2.0,11.0
4384,0.301,0.406,0.768,0.051,0.271,0.593,0.385,0.200,0.082,0.129,0.035,0.032,0.455,0.361,0.042,0.503,0.316,0.421,0.764,0.233,139573.0,2.0,11.0
4385,0.286,0.589,0.392,0.333,0.097,0.112,0.044,0.006,0.486,0.373,0.053,0.492,0.341,0.442,0.741,0.374,0.321,0.589,0.406,0.439,139573.0,2.0,11.0
4386,0.112,0.094,0.058,0.022,0.495,0.383,0.062,0.480,0.362,0.463,0.704,0.456,0.357,0.595,0.418,0.504,0.122,0.077,0.072,0.043,139573.0,2.0,11.0
4387,0.485,0.387,0.070,0.468,0.373,0.479,0.661,0.488,0.377,0.606,0.424,0.526,0.129,0.063,0.083,0.052,0.467,0.367,0.077,0.456,139573.0,2.0,11.0
4388,0.376,0.548,0.629,0.488,0.375,0.612,0.426,0.520,0.135,0.038,0.092,0.049,0.446,0.360,0.074,0.443,0.379,0.563,0.628,0.476,139573.0,2.0,11.0
4389,0.362,0.633,0.408,0.504,0.142,0.023,0.090,0.040,0.446,0.359,0.072,0.443,0.379,0.561,0.605,0.476,0.362,0.670,0.394,0.504,139573.0,2.0,11.0
4390,0.142,0.012,0.086,0.040,0.446,0.358,0.072,0.434,0.379,0.547,0.562,0.495,0.362,0.719,0.388,0.527,0.142,0.008,0.084,0.059,139573.0,2.0,11.0
4391,0.439,0.361,0.065,0.423,0.359,0.487,0.482,0.521,0.344,0.768,0.393,0.554,0.144,0.022,0.083,0.077,0.443,0.368,0.040,0.408,139573.0,2.0,11.0
4392,0.348,0.365,0.396,0.552,0.332,0.811,0.409,0.586,0.149,0.070,0.079,0.093,0.460,0.381,0.000,0.386,0.354,0.219,0.334,0.587,139573.0,2.0,11.0
4393,0.339,0.841,0.435,0.621,0.161,0.147,0.059,0.106,0.483,0.395,0.048,0.360,0.375,0.086,0.302,0.627,0.361,0.856,0.470,0.657,139573.0,2.0,11.0
4394,0.178,0.224,0.017,0.121,0.503,0.407,0.095,0.342,0.405,0.022,0.287,0.672,0.391,0.866,0.518,0.690,0.197,0.282,0.039,0.139,139573.0,2.0,11.0
4395,0.509,0.416,0.140,0.331,0.431,0.100,0.279,0.715,0.422,0.881,0.569,0.717,0.214,0.318,0.097,0.156,0.488,0.422,0.185,0.321,139573.0,2.0,11.0
4396,0.455,0.158,0.276,0.739,0.449,0.899,0.611,0.727,0.223,0.344,0.150,0.160,0.431,0.429,0.229,0.307,0.464,0.195,0.278,0.725,139573.0,2.0,11.0
4397,0.462,0.917,0.637,0.704,0.224,0.381,0.200,0.138,0.338,0.447,0.274,0.290,0.454,0.222,0.281,0.660,0.444,0.917,0.656,0.632,139573.0,2.0,11.0
4398,0.218,0.445,0.248,0.091,0.338,0.480,0.319,0.290,0.454,0.242,0.287,0.660,0.444,0.892,0.679,0.632,0.218,0.530,0.289,0.091,139573.0,2.0,11.0
4399,0.338,0.522,0.359,0.290,0.454,0.257,0.296,0.660,0.444,0.838,0.714,0.632,0.218,0.623,0.320,0.091,0.338,0.561,0.387,0.290,139573.0,2.0,11.0
4400,0.454,0.267,0.310,0.660,0.444,0.769,0.761,0.632,0.218,0.709,0.346,0.091,0.338,0.595,0.403,0.290,0.454,0.271,0.324,0.660,139573.0,2.0,11.0
4401,0.444,0.704,0.819,0.632,0.218,0.783,0.373,0.091,0.338,0.628,0.410,0.704,0.454,0.272,0.337,0.319,0.444,0.658,0.878,0.117,139573.0,2.0,11.0
4402,0.218,0.843,0.404,0.796,0.338,0.665,0.414,0.671,0.454,0.271,0.359,0.400,0.444,0.624,0.921,0.111,0.218,0.885,0.432,0.767,139573.0,2.0,11.0
4403,0.338,0.702,0.417,0.661,0.454,0.265,0.416,0.452,0.444,0.589,0.933,0.103,0.218,0.908,0.452,0.763,0.338,0.729,0.419,0.671,139573.0,2.0,11.0
4404,0.454,0.251,0.517,0.474,0.444,0.544,0.907,0.101,0.218,0.915,0.459,0.763,0.338,0.745,0.419,0.691,0.454,0.223,0.632,0.482,139573.0,2.0,11.0
4405,0.444,0.495,0.855,0.108,0.218,0.912,0.455,0.759,0.338,0.749,0.417,0.713,0.454,0.175,0.720,0.484,0.444,0.454,0.779,0.119,139573.0,2.0,11.0
4406,0.218,0.906,0.443,0.753,0.338,0.748,0.411,0.730,0.454,0.109,0.755,0.477,0.444,0.424,0.691,0.129,0.218,0.903,0.428,0.754,139573.0,2.0,11.0
4407,0.338,0.743,0.402,0.741,0.454,0.034,0.756,0.458,0.444,0.405,0.613,0.128,0.218,0.903,0.414,0.764,0.818,0.738,0.389,0.743,139573.0,2.0,11.0
4408,0.805,0.048,0.741,0.442,0.216,0.396,0.562,0.114,0.516,0.905,0.400,0.779,0.818,0.730,0.373,0.740,0.805,0.116,0.726,0.451,139573.0,2.0,11.0
4409,0.216,0.392,0.536,0.093,0.516,0.901,0.385,0.793,0.818,0.716,0.356,0.732,0.805,0.175,0.724,0.491,0.216,0.394,0.523,0.069,139573.0,2.0,11.0
4410,0.516,0.890,0.367,0.801,0.818,0.694,0.337,0.732,0.805,0.231,0.736,0.491,0.216,0.402,0.512,0.069,0.516,0.868,0.349,0.801,139573.0,2.0,11.0
4411,0.818,0.667,0.315,0.717,0.805,0.280,0.753,0.502,0.216,0.416,0.504,0.065,0.516,0.838,0.338,0.776,0.818,0.640,0.296,0.714,139573.0,2.0,11.0
4412,0.805,0.312,0.765,0.521,0.216,0.432,0.500,0.064,0.516,0.803,0.330,0.770,0.825,0.619,0.284,0.724,0.855,0.325,0.767,0.538,139573.0,2.0,11.0
4413,0.497,0.440,0.501,0.057,0.540,0.766,0.316,0.783,0.837,0.597,0.279,0.742,0.845,0.327,0.759,0.544,0.622,0.428,0.507,0.048,139573.0,2.0,11.0
4414,0.554,0.730,0.288,0.803,0.849,0.569,0.275,0.758,0.814,0.333,0.735,0.502,0.669,0.399,0.516,0.012,0.580,0.703,0.250,0.803,139573.0,2.0,11.0
4415,0.856,0.528,0.266,0.760,0.777,0.364,0.702,0.457,0.673,0.370,0.524,0.018,0.610,0.687,0.216,0.787,0.855,0.484,0.247,0.741,139573.0,2.0,11.0
4416,0.741,0.427,0.669,0.417,0.658,0.358,0.524,0.042,0.636,0.684,0.196,0.765,0.845,0.450,0.219,0.704,0.708,0.506,0.650,0.379,139573.0,2.0,11.0
4417,0.634,0.365,0.516,0.064,0.658,0.687,0.192,0.747,0.803,0.433,0.188,0.653,0.672,0.580,0.646,0.358,0.639,0.385,0.514,0.091,139573.0,2.0,11.0
4418,0.686,0.692,0.194,0.737,0.780,0.433,0.161,0.596,0.642,0.645,0.651,0.373,0.636,0.407,0.530,0.130,0.712,0.693,0.196,0.724,139573.0,2.0,11.0
4419,0.774,0.443,0.143,0.540,0.619,0.702,0.655,0.412,0.629,0.427,0.566,0.166,0.730,0.693,0.197,0.700,0.777,0.454,0.131,0.502,139573.0,2.0,11.0
4420,0.575,0.740,0.648,0.431,0.618,0.443,0.607,0.186,0.740,0.693,0.202,0.666,0.767,0.465,0.120,0.504,0.594,0.753,0.640,0.409,139573.0,2.0,11.0
4421,0.591,0.453,0.632,0.175,0.742,0.696,0.213,0.637,0.767,0.477,0.108,0.542,0.594,0.633,0.626,0.409,0.591,0.454,0.636,0.077,139573.0,2.0,11.0
4422,0.742,0.700,0.225,0.622,0.767,0.490,0.099,0.585,0.594,0.383,0.580,0.614,0.591,0.436,0.624,0.155,0.742,0.698,0.232,0.639,139573.0,2.0,11.0
4423,0.767,0.502,0.098,0.605,0.594,0.115,0.483,0.826,0.591,0.401,0.601,0.442,0.742,0.686,0.230,0.640,0.767,0.511,0.104,0.602,139573.0,2.0,11.0
4424,0.594,0.107,0.353,0.975,0.591,0.365,0.574,0.667,0.742,0.665,0.226,0.628,0.757,0.515,0.110,0.588,0.517,0.261,0.223,1.066,139573.0,2.0,11.0
4425,0.528,0.345,0.552,0.805,0.753,0.636,0.222,0.610,0.739,0.510,0.109,0.572,0.473,0.357,0.122,1.119,0.432,0.352,0.540,0.868,139573.0,2.0,11.0
4426,0.765,0.598,0.222,0.591,0.712,0.501,0.102,0.544,0.462,0.412,0.063,1.173,0.322,0.386,0.538,0.906,0.772,0.556,0.225,0.570,139573.0,2.0,11.0
4427,0.675,0.493,0.095,0.523,0.473,0.440,0.036,1.203,0.225,0.435,0.547,0.918,0.771,0.515,0.232,0.557,0.639,0.487,0.095,0.527,139573.0,2.0,11.0
4428,0.504,0.453,0.027,1.230,0.152,0.482,0.568,0.946,0.766,0.480,0.243,0.564,0.586,0.482,0.104,0.541,0.548,0.455,0.026,1.260,139573.0,2.0,11.0
4429,0.153,0.515,0.602,0.975,0.696,0.447,0.249,0.569,0.539,0.474,0.118,0.560,0.571,0.456,0.027,1.291,0.161,0.531,0.641,1.006,139573.0,2.0,11.0
4430,0.612,0.415,0.247,0.569,0.491,0.465,0.127,0.557,0.595,0.459,0.025,1.288,0.153,0.533,0.669,1.008,0.519,0.386,0.232,0.537,139573.0,2.0,11.0
4431,0.466,0.460,0.127,0.574,0.610,0.463,0.020,1.318,0.166,0.518,0.677,1.043,0.466,0.361,0.207,0.528,0.410,0.457,0.131,0.582,139573.0,2.0,11.0
4432,0.583,0.493,0.000,1.354,139573,2,11,,,,,,,,,,,,,,,,
4433,0.182,0.501,0.677,1.083,0.383,0.350,0.191,0.512,0.410,0.453,0.133,0.567,0.583,0.523,0.022,1.396,0.182,0.483,0.670,1.126,139573.0,2.0,12.0
4434,0.383,0.332,0.168,0.476,0.410,0.444,0.130,0.515,0.583,0.548,0.046,1.434,0.182,0.470,0.670,1.170,0.383,0.305,0.141,0.410,139573.0,2.0,12.0
4435,0.410,0.428,0.115,0.427,0.583,0.556,0.063,1.451,0.182,0.481,0.685,1.200,0.383,0.272,0.119,0.318,0.410,0.403,0.089,0.326,139573.0,2.0,12.0
4436,0.583,0.533,0.062,1.432,0.182,0.529,0.717,1.193,0.383,0.237,0.103,0.226,0.410,0.371,0.063,0.253,0.583,0.465,0.030,1.381,139573.0,2.0,12.0
4437,0.182,0.619,0.756,1.123,0.383,0.198,0.086,0.162,0.410,0.337,0.050,0.228,0.583,0.347,0.047,1.300,0.182,0.729,0.780,0.970,139573.0,2.0,12.0
4438,0.383,0.152,0.070,0.135,0.410,0.312,0.055,0.228,0.583,0.185,0.177,1.300,0.182,0.816,0.775,0.970,0.383,0.108,0.059,0.135,139573.0,2.0,12.0
4439,0.410,0.305,0.070,0.228,0.583,0.016,0.339,1.300,0.182,0.838,0.741,0.970,0.383,0.082,0.053,0.135,0.410,0.313,0.086,0.228,139573.0,2.0,12.0
4440,0.583,0.231,0.496,1.300,0.182,0.811,0.689,0.970,0.383,0.080,0.040,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,139573.0,2.0,12.0
4441,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,139573.0,2.0,12.0
4442,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,139573.0,2.0,12.0
4443,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,139573.0,2.0,12.0
4444,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,139573.0,2.0,12.0
4445,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,139573.0,2.0,12.0
4446,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,139573.0,2.0,12.0
4447,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,139573.0,2.0,12.0
4448,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,139573.0,2.0,12.0
4449,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,139573.0,2.0,12.0
4450,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,139573.0,2.0,12.0
4451,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,139573.0,2.0,12.0
4452,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,139573.0,2.0,12.0
4453,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,139573.0,2.0,12.0
4454,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,139573.0,2.0,12.0
4455,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,139573.0,2.0,12.0
4456,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,139573.0,2.0,12.0
4457,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,139573.0,2.0,12.0
4458,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,139573.0,2.0,12.0
4459,0.410,0.332,0.093,0.228,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.332,0.093,0.228,139573.0,2.0,12.0
4460,0.583,0.409,0.610,1.300,0.182,0.764,0.629,0.970,0.383,0.087,0.003,0.135,0.410,0.107,0.066,0.228,0.583,0.645,0.195,1.300,139573.0,2.0,12.0
4461,0.182,0.394,0.597,0.970,0.383,0.070,0.091,0.135,0.410,0.116,0.063,0.228,0.583,0.613,0.257,1.300,0.182,0.435,0.645,0.970,139573.0,2.0,12.0
4462,0.383,0.060,0.118,0.135,0.410,0.135,0.068,0.228,0.583,0.576,0.311,1.300,0.182,0.479,0.687,0.970,0.383,0.058,0.145,0.135,139573.0,2.0,12.0
4463,0.410,0.155,0.077,0.526,0.583,0.547,0.349,0.565,0.182,0.508,0.710,0.046,0.383,0.061,0.160,0.169,0.418,0.171,0.091,0.508,139573.0,2.0,12.0
4464,0.706,0.539,0.372,0.562,0.272,0.515,0.708,0.057,0.047,0.063,0.153,0.145,0.399,0.185,0.109,0.492,0.655,0.541,0.372,0.532,139573.0,2.0,12.0
4465,0.197,0.506,0.687,0.067,0.034,0.061,0.123,0.125,0.397,0.196,0.127,0.484,0.609,0.547,0.356,0.490,0.140,0.493,0.661,0.059,139573.0,2.0,12.0
4466,0.018,0.056,0.086,0.106,0.397,0.204,0.138,0.481,0.609,0.538,0.342,0.460,0.140,0.485,0.637,0.020,0.018,0.048,0.057,0.086,139573.0,2.0,12.0
4467,0.397,0.212,0.144,0.484,0.609,0.471,0.342,0.456,0.140,0.461,0.613,0.078,0.018,0.043,0.043,0.067,0.397,0.231,0.152,0.493,139573.0,2.0,12.0
4468,0.609,0.305,0.353,0.522,0.140,0.362,0.577,0.250,0.018,0.049,0.041,0.049,0.431,0.277,0.168,0.505,0.734,0.069,0.366,0.664,139573.0,2.0,12.0
4469,0.530,0.162,0.517,0.460,0.025,0.073,0.037,0.036,0.441,0.349,0.189,0.515,0.892,0.145,0.374,0.827,0.754,0.047,0.441,0.638,139573.0,2.0,12.0
4470,0.020,0.107,0.024,0.028,0.435,0.433,0.214,0.520,1.031,0.314,0.413,0.955,0.878,0.219,0.360,0.753,0.006,0.136,0.000,0.025,139573.0,2.0,12.0
4471,0.419,0.497,0.230,0.517,1.119,0.420,0.449,1.031,0.932,0.321,0.303,0.807,0.006,0.167,0.023,0.026,0.400,0.535,0.241,0.509,139573.0,2.0,12.0
4472,1.157,0.473,0.481,1.058,0.942,0.366,0.272,0.817,0.014,0.193,0.041,0.030,0.382,0.557,0.255,0.501,1.158,0.495,0.495,1.078,139573.0,2.0,12.0
4473,0.935,0.380,0.257,0.828,0.019,0.212,0.053,0.023,0.354,0.575,0.274,0.487,1.161,0.502,0.482,1.084,0.948,0.388,0.248,0.829,139573.0,2.0,12.0
4474,0.027,0.230,0.062,0.030,0.333,0.595,0.297,0.474,1.156,0.512,0.442,1.087,0.962,0.400,0.235,0.828,0.043,0.251,0.067,0.048,139573.0,2.0,12.0
4475,0.329,0.617,0.320,0.467,1.149,0.526,0.379,1.085,0.974,0.418,0.214,0.828,0.058,0.272,0.068,0.068,0.346,0.643,0.341,0.464,139573.0,2.0,12.0
4476,1.151,0.548,0.290,1.084,0.984,0.440,0.186,0.830,0.066,0.290,0.060,0.086,0.349,0.674,0.358,0.462,1.183,0.581,0.183,1.085,139573.0,2.0,12.0
4477,1.021,0.462,0.156,0.835,0.070,0.300,0.042,0.104,0.345,0.708,0.372,0.460,1.220,0.617,0.079,1.091,1.060,0.479,0.131,0.845,139573.0,2.0,12.0
4478,0.072,0.305,0.015,0.127,0.345,0.741,0.387,0.465,1.220,0.643,0.004,1.107,1.060,0.489,0.113,0.869,0.072,0.313,0.011,0.157,139573.0,2.0,12.0
4479,0.345,0.767,0.402,0.480,1.220,0.654,0.059,1.133,1.060,0.490,0.105,0.907,0.072,0.327,0.026,0.191,0.345,0.782,0.409,0.501,139573.0,2.0,12.0
4480,1.220,0.647,0.090,1.153,1.060,0.478,0.108,0.942,0.072,0.339,0.031,0.222,0.306,0.781,0.402,0.520,1.228,0.614,0.103,1.149,139573.0,2.0,12.0
4481,1.044,0.439,0.130,0.950,0.085,0.338,0.036,0.242,0.273,0.764,0.384,0.531,1.203,0.546,0.103,1.105,0.988,0.361,0.171,0.920,139573.0,2.0,12.0
4482,0.093,0.323,0.050,0.251,0.256,0.737,0.362,0.535,1.126,0.452,0.101,1.025,0.897,0.242,0.228,0.863,0.094,0.300,0.078,0.251,139573.0,2.0,12.0
4483,0.258,0.710,0.345,0.533,0.990,0.353,0.099,0.931,0.799,0.111,0.282,0.805,0.092,0.280,0.116,0.246,0.277,0.691,0.331,0.529,139573.0,2.0,12.0
4484,0.810,0.281,0.099,0.858,0.731,0.018,0.319,0.770,0.094,0.269,0.155,0.238,0.312,0.678,0.316,0.525,0.647,0.246,0.099,0.818,139573.0,2.0,12.0
4485,0.698,0.023,0.337,0.757,0.099,0.267,0.189,0.225,0.312,0.663,0.293,0.521,0.647,0.231,0.098,0.798,0.698,0.046,0.350,0.754,139573.0,2.0,12.0
4486,0.099,0.269,0.213,0.204,0.312,0.644,0.260,0.514,0.647,0.210,0.089,0.778,0.698,0.083,0.369,0.753,0.099,0.267,0.227,0.178,139573.0,2.0,12.0
4487,0.312,0.621,0.219,0.505,0.647,0.179,0.071,0.765,0.698,0.145,0.400,0.755,0.099,0.256,0.234,0.153,0.312,0.594,0.173,0.496,139573.0,2.0,12.0
4488,0.647,0.121,0.035,0.761,0.698,0.240,0.441,0.760,0.099,0.242,0.237,0.132,0.516,0.560,0.121,0.490,0.429,0.014,0.030,0.762,139573.0,2.0,12.0
4489,0.273,0.369,0.486,0.766,0.056,0.233,0.239,0.113,0.540,0.518,0.061,0.486,0.410,0.151,0.137,0.755,0.268,0.518,0.525,0.765,139573.0,2.0,12.0
4490,0.090,0.231,0.244,0.091,0.538,0.471,0.010,0.477,0.400,0.361,0.282,0.719,0.254,0.649,0.553,0.740,0.121,0.225,0.257,0.061,139573.0,2.0,12.0
4491,0.524,0.426,0.090,0.454,0.400,0.559,0.441,0.638,0.238,0.723,0.567,0.677,0.136,0.211,0.280,0.019,0.508,0.388,0.166,0.415,139573.0,2.0,12.0
4492,0.403,0.672,0.576,0.516,0.228,0.750,0.563,0.568,0.126,0.193,0.314,0.031,0.497,0.360,0.220,0.369,0.411,0.696,0.650,0.379,139573.0,2.0,12.0
4493,0.226,0.768,0.531,0.429,0.099,0.179,0.356,0.076,0.497,0.337,0.246,0.329,0.418,0.656,0.656,0.277,0.239,0.791,0.478,0.300,139573.0,2.0,12.0
4494,0.069,0.173,0.404,0.099,0.507,0.318,0.253,0.308,0.421,0.593,0.640,0.232,0.264,0.810,0.426,0.227,0.049,0.171,0.451,0.093,139573.0,2.0,12.0
4495,0.518,0.304,0.256,0.308,0.421,0.511,0.619,0.222,0.291,0.817,0.390,0.209,0.039,0.165,0.485,0.067,0.523,0.296,0.260,0.322,139573.0,2.0,12.0
